Site.ID,Tour.ID,AM_n,AM_b,AH_n,AP_n,AP_b,CM,H_n,H_b,H_iso,PP_n,PP_type,Site.name,Latitude,Longitude,Altitude.x,Air.temp,Air.humidity,Soil.temp,Soil.humidity,Pop_size,Tour_ID,Plant_ID,HpA_plant,Albugo,Necrosis,Used_for,Lat,Long,HpA_site,Altitude.y,Notes,,,,
P0020,ITA,2,1,6,3,1,1,6,1,NA,20,1,Angit,38.76024,16.23519,22,16.8,69.7,13,26.5,5000,ITA,PC0063,0,NA,NA,M,38.76024,16.23519,1,22,"Small plant, just started flowering",,,,
P0020,ITA,2,1,6,3,1,1,6,1,NA,20,1,Angit,38.76024,16.23519,22,16.8,69.7,13,26.5,5000,ITA,PA0122,0,NA,NA,M,38.76024,16.23519,1,22,Very small and vegetative, one leaf is a bit yellow,,,
P0020,ITA,2,1,6,3,1,1,6,1,NA,20,1,Angit,38.76024,16.23519,22,16.8,69.7,13,26.5,5000,ITA,PA0120,0,NA,NA,M,38.76024,16.23519,1,22,Very small and vegetative, juicy green,,,
P0021,ITA,2,1,6,2,1,1,6,1,NA,20,1,Nicas,38.96973,16.3407,325,17.7,63.2,14.3,15.73,10000,ITA,PA0135,1,NA,NA,M,38.96973,16.3407,1,325,Small vegetative plant, pale, a bit of HpA,,
P0021,ITA,2,1,6,2,1,1,6,1,NA,20,1,Nicas,38.96973,16.3407,325,17.7,63.2,14.3,15.73,10000,ITA,PC0064,0,NA,NA,M,38.96973,16.3407,1,325,ca. 2 E size, vegetative, juicy green,,
P0021,ITA,2,1,6,2,1,1,6,1,NA,20,1,Nicas,38.96973,16.3407,325,17.7,63.2,14.3,15.73,10000,ITA,PA0134,1,NA,NA,M,38.96973,16.3407,1,325,Tiny plant, vegetative, pale and looks unhappy, does have little HpA,
P0022,ITA,2,1,5,2,1,1,5,1,NA,20,1,Bivio,39.12925,16.16778,421,16.8,67.8,13.7,5.65,10000,ITA,PC0065,0,NA,NA,M,39.12925,16.16778,1,421,"Flowering with siliques; not young , but not senescing",,,,
P0022,ITA,2,1,5,2,1,1,5,1,NA,20,1,Bivio,39.12925,16.16778,421,16.8,67.8,13.7,5.65,10000,ITA,PA0141,0,NA,NA,M,39.12925,16.16778,1,421,"Rather small vegetative plant, a bit pale",,,,
P0022,ITA,2,1,5,2,1,1,5,1,NA,20,1,Bivio,39.12925,16.16778,421,16.8,67.8,13.7,5.65,10000,ITA,PA0142,0,NA,NA,M,39.12925,16.16778,1,421,Green and juicy, just started flowering,,,
P0023,ITA,2,1,4,2,1,1,2,1,NA,20,1,Timpo,39.26974,16.27086,438,12.5,73.2,10.2,17.2,10000,ITA,PC0066,0,NA,NA,M,39.26974,16.27086,1,438,flowering with first siliques, green,,,
