Tour_ID	Site.ID	Site.name	Latitude	Longitude	Date	Time	Climate_classification	rndCoord.lon	rndCoord.lat
SCO	P0256	Dunvegan	57.44731	-6.58516	20180512	11:03	Cfb	-6.75	57.25
SCO	P0259	Portree	57.41306	-6.19551	20180512	16:13	Cfb	-6.25	57.25
SCO	P0260	Broadford	57.24124	-5.90471	20180512	18:02	Cfb	-5.75	57.25
SCO	P0261	Invergarry	57.07049	-4.78817	20180513	12:27	Cfc	-4.75	57.25
SCO	P0262	Fort_Williams	56.81467	-5.10465	20180513	13:49	Cfc	-5.25	56.75
SCO	P0263	Glencoe	56.6697	-5.01171	20180513	16:36	Cfc	-5.25	56.75
SCO	P0264	Appin	56.57278	-5.38186	20180513	18:00	Cfc	-5.25	56.75
SCO	P0361	Taynuilt	56.42869	-5.23618	20180514	11:42	Cfb	-5.25	56.25
SCO	P0362	Bearsden	55.91952	-4.3345	20180514	20:18	Cfb	-4.25	55.75
SCO	P0411	Inveraray	56.23745	-5.07286	20180514	13:56	Cfb	-5.25	56.25
SCO	P0412	Killearn	56.04442	-4.37275	20180514	17:23	Cfb	-4.25	56.25
ENN	P0136	Old_Colwyn	53.29245	-3.69683	20180421	10:00	Cfb	-3.75	53.25
ENN	P0137	Betws-y-Coed	53.09408	-3.80547	20180421	12:00	Cfb	-3.75	53.25
ENN	P0138	Ruthin	53.11388	-3.30541	20180421	13:30	Cfb	-3.25	53.25
ENN	P0139	Chirk	52.93189	-3.05634	20180421	16:00	Cfb	-3.25	52.75
ENN	P0140	Stanton-by-Dale	52.9376	-1.30914	20180421	18:30	Cfb	-1.25	52.75
ENN	P0141	Nottingham	52.97068	-1.15283	20180422	09:30	Cfb	-1.25	52.75
ENN	P0142	Southwell	53.0771	-0.95371	20180422	10:30	Cfb	-0.75	53.25
ENN	P0143	Bakewell	53.21505	-1.67419	20180422	14:30	Cfb	-1.75	53.25
ENN	P0144	Ripon	54.13288	-1.52196	20180423	09:20	Cfb	-1.75	54.25
ENN	P0217	Settle	54.0691	-2.27695	20180423	11:30	Cfb	-2.25	54.25
ENN	P0218	Windermere	54.37309	-2.90755	20180423	13:00	Cfb	-2.75	54.25
ENN	P0219	Ambleside	54.42704	-2.96201	20180423	14:30	Cfb	-2.75	54.25
ENN	P0220	Dove_Cottage	54.4543	-3.01655	20180423	15:30	Cfb	-3.25	54.25
ENN	P0221	Keswick	54.60192	-3.13684	20180423	17:00	Cfb	-3.25	54.75
ENN	P0222	Penrith	54.66228	-2.75662	20180424	10:54	Cfb	-2.75	54.75
ENN	P0223	Alston	54.81207	-2.44087	20180424	13:07	Cfb	-2.25	54.75
ENN	P0224	Vindolanda	54.99167	-2.36397	20180424	15:26	Cfb	-2.25	54.75
ENN	P0225	Hexham	54.97908	-2.12989	20180424	16:36	Cfb	-2.25	54.75
ENN	P0226	Low_Light_Harbour	55.01078	-1.43359	20180425	10:00	Cfb	-1.25	55.25
ENN	P0227	Cambo	55.16567	-1.9606	20180425	13:30	Cfb	-1.75	55.25
ENN	P0228	Jedburgh	55.4767	-2.55439	20180425	15:00	Cfb	-2.75	55.25
ENN	P0229	Manderston_house	55.78159	-2.31209	20180425	16:30	Cfb	-2.25	55.75
ENN	P0230	Holyrood_Park	55.94075	-3.1586	20180426	12:49	Cfb	-3.25	55.75
ENN	P0231	Edinburgh	55.9538	-3.22198	20180426	15:21	Cfb	-3.25	55.75
SSD	P0265	Lund-1	55.71021	13.22014	20180507	09:36	Cfb	13.25	55.75
SSD	P0266	Kulturen-1	55.70496	13.1959	20180507	12:16	Cfb	13.25	55.75
SSD	P0267	Grab-1	55.75142	13.04138	20180507	15:35	Cfb	13.25	55.75
SSD	P0268	Olang-1	55.79369	13.1225	20180507	17:50	Cfb	13.25	55.75
SSD	P0269	Torne-1	55.67777	13.42023	20180508	10:28	Cfb	13.25	55.75
SSD	P0270	Son-1	55.773	14.15341	20180508	13:30	Cfb	14.25	55.75
SSD	P0271	Vita-1	55.69422	14.16774	20180508	15:42	Cfb	14.25	55.75
SSD	P0272	Sand-1	55.57917	14.33291	20180508	17:16	Cfb	14.25	55.75
SSD	P0273	Kia_1	56.05585	14.30316	20180509	13:04	Cfb	14.25	56.25
SSD	P0274	Ragnar-1	56.08969	14.04852	20180509	15:56	Cfb	14.25	56.25
SSD	P0275	Straw-1	56.31554	16.03761	20180509	10:30	Cfb	16.25	56.25
SSD	P0276	Aledal_2018	56.70039	16.51431	20180510	10:07	Cfb	16.75	56.75
SSD	P0277	Bag_3	56.95902	16.4053	20180510	13:08	Cfb	16.25	56.75
SSD	P0278	Fr̦-1	57.40886	15.56853	20180510	16:43	Cfb	15.75	57.25
SSD	P0279	Tur-1	57.65104	14.80439	20180511	10:37	Dfb	14.75	57.75
SSD	P0280	Lag-1	58.1834	15.00652	20180511	13:55	Dfb	15.25	58.25
SSD	P0281	Dju-1	58.29046	15.12591	20180511	15:34	Dfb	15.25	58.25
SSD	P0282	Hill-1	58.82053	14.9585	20180511	16:05	Dfb	14.75	58.75
SSD	P0283	Apollo-1	59.43196	16.80225	20180512	14:46	Dfb	16.75	59.25
SSD	P0284	Arby-1	59.43111	16.06748	20180512	17:04	Dfb	16.25	59.25
SSD	P0285	Boulder-1	59.78614	17.58582	20180513	11:53	Dfb	17.75	59.75
SPN	P0314	TRS	43.36351	-5.49208	20180511	15:43	Cfb	-5.25	43.25
SPN	P0286	Alb	42.36998	-3.31109	20180512	12:30	Cfb	-3.25	42.25
SPN	P0287	Aya	42.25175	-3.04601	20180512	15:05	Cfb	-3.25	42.25
SPN	P0288	Oja	42.34595	-2.99682	20180512	18:00	Cfb	-2.75	42.25
SPN	P0318	OLA	43.04904	-2.6305	20180513	11:08	Cfb	-2.75	43.25
SPN	P0319	BUJ2	42.67566	-2.40631	20180513	14:28	Cfb	-2.25	42.75
SPN	P0321	ARI	42.94018	-1.27912	20180513	18:47	Cfb	-1.25	42.75
SPN	P0322	PAN	42.76025	-0.23257	20180514	14:21	Cfb	-0.25	42.75
SPN	P0323	TAU-2	42.52023	0.84544	20180515	11:36	Cfb	0.75	42.75
SPN	P0324	MOA	42.46507	0.69566	20180515	14:12	Cfb	0.75	42.25
SPN	P0325	BOS	42.78327	0.69144	20180515	18:23	Cfb	0.75	42.75
SPN	P0326	ALE	42.41254	1.32274	20180516	12:38	Cfb	1.25	42.25
SPN	P0327	MOF	42.34523	1.40327	20180516	14:46	Cfb	1.25	42.25
SPN	P0328	PRU	42.38002	1.72595	20180516	17:26	Cfb	1.75	42.25
SPN	P0329	PRU-2	42.37877	1.72462	20180516	18:05	Cfb	1.75	42.25
SWN	P0363	TAL	62.62647	17.67551	20180515	10:37	Dfc	17.75	62.75
SWN	P0364	TAA	62.63792	17.73273	20180515	12:43	Dfc	17.75	62.75
SWN	P0365	H̦gsj̦	62.79208	17.89834	20180515	17:17	Dfc	17.75	62.75
SWN	P0366	Herr	63.06645	18.31932	20180516	11:53	Dfc	18.25	63.25
SWN	P0367	Fab	63.0163	18.31755	20180516	13:33	Dfc	18.25	63.25
SWN	P0368	Omneberget	62.95647	18.34079	20180516	17:06	Dfc	18.25	62.75
SWN	P0369	Edsatter	62.91837	18.38055	20180517	11:09	Dfc	18.25	62.75
SWN	P0370	Edj-2	62.9151	18.40421	20180517	12:39	Dfc	18.25	62.75
SWN	P0371	Oden	62.89608	18.36596	20180517	15:29	Dfc	18.25	62.75
SWN	P0372	Bonham	62.87939	18.44764	20180517	16:46	Dfc	18.25	62.75
SWN	P0167	Adal	62.86268	18.33769	20180518	12:05	Dfc	18.25	62.75
SWN	P0168	Eden	62.8755	18.17542	20180518	13:37	Dfc	18.25	62.75
SWN	P0375	Lovvik	62.80042	18.075546	20180518	15:07	Dfc	18.25	62.75
