Tour_ID Site_ID Site_name Lat Long HpA_site Elevation Date Time Air_temp Air_hum Soil_temp Soil_hum Pop_size rndCoord.lon rndCoord.lat ClimateZ
GEN P0165 Osnabrück 52.30192 8.02299 0 59 20180505 12:10 25.9 32.6 25.9 0.33 300 8.25 52.25 Cfb
GEN P0166 Ovelgönne 53.34189 8.42052 0 17 20180506 13:30 30.6 34.6 n/a n/a 50 8.25 53.25 Cfb
GEN P0313 Ellershausen 51.5107 9.67837 0 279 20180506 13:35 26.1 32.1 n/a n/a 200 9.75 51.75 Cfb
ENS P0121 Kenilworth 52.3493 -1.58047 1 72 20180413 16:37 14.7 68.4 16.3 2.11 1000 -1.75 52.25 Cfb
ENS P0122 Tewkesbury 51.98942 -2.1637 0 12 20180414 10:30 26.3 38.0 29.8 12.75 15 -2.25 51.75 Cfb
ENS P0123 Batsford 51.99802 -1.73753 0 182 20180414 15:45 26.4 44.3 29.1 10 50 -1.75 51.75 Cfb
ENS P0124 Tauton 51.01181 -3.10619 0 27 20180415 10:11 12.7 83.6 n/a n/a 50 -3.25 51.25 Cfb
ENS P0125 Shaftesbury 51.0066 -2.19835 0 201 20180415 14:41 11.9 85.4 n/a n/a 30 -2.25 51.25 Cfb
ENS P0126 Wimborne 50.79885 -1.98779 0 22 20180415 17:05 13.3 83.0 16.2 3.65 100 -1.75 50.75 Cfb
ENS P0127 Hillier Arboretum 51.01015 -1.46641 0 45 20180416 10:38 18.7 57.9 16.1 19.74 200 -1.25 51.25 Cfb
ENS P0128 Wisley Garden 51.31384 -0.47081 0 27 20180416 16:09 19.1 47.9 18.3 0.46 100 -0.25 51.25 Cfb
ENS P0129 West Malling 51.29502 0.40597 0 35 20180417 14:04 24.6 37.8 n/a n/a 100 0.25 51.25 Cfb
ENS P0130 East Malling 51.29239 0.43776 0 41 20180417 15:14 22.0 43.1 n/a n/a 50 0.25 51.25 Cfb
ENS P0131 Maidstone 51.26886 0.53955 0 33 20180417 16:53 20.1 49.2 22.7 18 10 0.75 51.25 Cfb
ENS P0132 Pluckley 51.17516 0.75432 0 91 20180418 11:33 20.5 65.0 23.4 1.68 100 0.75 51.25 Cfb
ENS P0133 Chilham 51.24568 0.97762 0 8 20180418 13:46 23.3 49.2 n/a n/a 20 0.75 51.25 Cfb
ENS P0134 Chartham 51.25483 1.02029 1 18 20180418 14:41 24.0 47.4 n/a n/a 50 1.25 51.25 Cfb
ENS P0135 Wye College 51.18385 0.93995 0 41 20180418 16:59 22.7 54.0 25.1 2.53 5000 0.75 51.25 Cfb
IRE P0193 Bray 53.185585 -6.130672 1 72 20180430 8:36 11.8 60.7 8.9 2.9 150 -6.25 53.25 Cfb
IRE P0194 Rathnew 52.99227 -6.07541 1 14 20180430 10:44 16.1 44.7 17.7 27.61 5000 -6.25 52.75 Cfb
IRE P0195 Gorey 52.67437 -6.29735 1 69 20180430 12:46 21 34.9 11.1 5.3 1000 -6.25 52.75 Cfb
IRE P0196 New Ross 52.39283 -6.94348 1 8 20180430 16:44 25 30.5 16.5 10.33 5000 -6.75 52.25 Cfb
IRE P0197 Waterford 52.26638 -7.10075 1 30 20180430 18:08 16.6 49.8 15.3 8.96 1000 -7.25 52.25 Cfb
IRE P0198 Stradbally 52.13662 -7.46801 1 76 20180501 10:18 9.3 88.2 9.1 5.9 200 -7.25 52.25 Cfb
IRE P0199 Dungarvan 52.08537 -7.63043 1 3 20180501 11:35 10.5 97.5 n/a n/a 50 -7.75 52.25 Cfb
IRE P0202 Bansha 52.44792 -8.06358 1 63 20180501 17:47 12.1 87.5 11.7 1.02 20 -8.25 52.25 Cfb
IRE P0200 Lismore 52.13976 -7.9322 0 23 20180501 12:54 12.4 92.8 12.4 23.08 300 -7.75 52.25 Cfb
IRE P0201 Cahir 52.37443 -7.92707 1 41 20180501 16:26 13.4 92.1 n/a n/a 300 -7.75 52.25 Cfb
IRE P0203 Limerick 52.66856 -8.55832 1 34 20180502 8:43 12.1 62.9 9 18.06 400 -8.75 52.75 Cfb
IRE P0204 Kilaloe 52.812303 -8.456731 1 58 20180502 10:51 17.3 59.1 18.5 3.68 300 -8.25 52.75 Cfb
IRE P0205 Bodyke 52.89413 -8.5529 1 46 20180502 12:07 15.5 57 13.4 24.21 5000 -8.75 52.75 Cfb
IRE P0206 Ennis 52.83387 -8.99243 0 7 20180502 13:30 17.4 52.3 13.7 16.12 300 -8.75 52.75 Cfb
IRE P0207 ODea	52.91175	-9.06598	1	26	20180502	15:25	20.5	44.4	23.3	21.59	1000
IRE	P0208	Ballinrobe	53.62622	-9.22583	1	28	20180503	13:11	14.9	78.9	13	28.26	5000
IRE	P0209	Friary_of_Ross	53.47957	-9.13189	1	15	20180503	14:59	13.4	84.9	17.1	15.93	300
IRE	P0210	Claregalway	53.34742	-8.9437	1	9	20180503	16:28	15.3	78.6	13.6	19.08	300
IRE	P0211	Letterfrack	53.55223	-9.94931	0	29	20180504	11:54	15.5	83.9	17.8	4.34	50
IRE	P0212	Roundstone	53.39631	-9.91893	0	-5	20180504	13:35	16.5	76.1	17.3	7.54	100
IRE	P0213	Oughterard	53.43545	-9.30709	1	13	20180504	16:13	19	65.3	18.9	0.19	100
IRE	P0214	Boleybeg	53.27923	-9.13919	0	58	20180504	17:28	18.9	65.7	16.1	12.95	100
IRE	P0215	Ballinasloe	53.32991	-8.22293	1	45	20180505	11:07	16.3	77.4	15.7	7.3	100
IRE	P0216	Athenry	53.28877	-8.74147	0	36	20180505	12:35	17.2	68.9	17	14.61	100
IRE	P0232	Ballyvaughan	53.115	-9.15044	0	6	20180505	17:08	18.6	58.5	n/a	n/a	100
IRE	P0233	Corcomore Abbey	53.12682	-9.05359	0	28	20180505	17:46	23.1	54	20.7	11.09	300
IRE	P0234	Kinvarra	53.12866	-8.95609	0	18	20180505	18:44	19	59.8	18.7	6.74	2000
IRE	P0235	Parkes Castle 54.26488 -8.33463 1 12 20180506 11:50 15.9 72.5 18 11.79 100 -8.25 54.25 Cfb
IRE P0236 Mohill 53.92103 -7.91368 1 49 20180506 14:52 27.5 46.2 33.8 dry 5000 -7.75 53.75 Cfb
IRE P0238 Edgeworthstown 53.69478 -7.60888 0 101 20180506 16:32 30.3 41.5 25.3 10.47 200 -7.75 53.75 Cfb
IRE P0239 Cavan 53.995574 -7.362371 0 77 20180506 17:54 23.7 53.5 20.7 27.47 200 -7.25 53.75 Cfb
IRE P0290 Doolin 53.03812 -9.37913 0 66 20180505 n/a n/a n/a n/a n/a 20 -9.25 53.25 Cfb
SCO P0237 Stirling 56.12458 -3.94606 1 78 20180508 14:13 16.4 71.3 15.5 8.5 5000 -3.75 56.25 Cfb
SCO P0240 Kinkell Bridge 56.32973 -3.72893 1 14 20180508 15:55 15.3 82.5 14.2 6.72 300 -3.75 56.25 Cfb
SCO P0241 Errol 56.40711 -3.21213 0 11 20180508 17:47 14.7 88.5 15.5 4.11 10000 -3.25 56.25 Cfb
SCO P0242 Carnoustie 56.50444 -2.75932 0 23 20180509 10:17 16.8 62 13.6 4.77 300 -2.75 56.75 Cfb
SCO P0243 Whitestone 57.02153 -2.59091 0 78 20180509 12:52 17.7 50.4 15.2 0.27 1000 -2.75 57.25 Cfb
SCO P0244 Lumsden 57.28711 -2.87331 0 238 20180509 15:31 13.5 55.5 14 1.79 1000 -2.75 57.25 Cfb
