Sequence_ID	Tour_ID	Site_ID	Plant_ID	HpA_plant	Albugo	Necrosis	Used_for	Host_Species	Lat	Long	HpA_site	Altitude	rndCoord.lon	rndCoord.lat	ClimateZ	Land_cov
PA1210.P228.ENN	PA1210.P228.ENN	ENN	P0228	PA1210	NA	NA	NA	SOIL		55.4767	-2.55439	NA	NA	-2.75	55.25	Cfb	50
PA1236.P093.BNE	PA1236.P093.BNE	BNE	P0093	PA1236	NA	NA	NA	SOIL		51.2502	4.81116	NA	NA	4.75	51.25	Cfb	50
PA1236.P093.BNE_rep	PA1236.P093.BNE_rep	BNE	P0093	PA1236	NA	NA	NA	SOIL		51.2502	4.81116	NA	NA	4.75	51.25	Cfb	14
PA1238.P093.BNE	PA1238.P093.BNE	BNE	P0093	PA1238	NA	NA	NA	SOIL		51.2502	4.81116	NA	NA	4.75	51.25	Cfb	14
PA1243.P094.BNE	PA1243.P094.BNE	BNE	P0094	PA1243	NA	NA	NA	SOIL		51.16745	4.2268	NA	NA	4.25	51.25	Cfb	14
PA1244.P094.BNE	PA1244.P094.BNE	BNE	P0094	PA1244	NA	NA	NA	SOIL		51.16745	4.2268	NA	NA	4.25	51.25	Cfb	14
PA1246.P095.BNE	PA1246.P095.BNE	BNE	P0095	PA1246	NA	NA	NA	SOIL		51.16784	3.76163	NA	NA	3.75	51.25	Cfb	30
PA1248.P095.BNE	PA1248.P095.BNE	BNE	P0095	PA1248	NA	NA	NA	SOIL		51.16784	3.76163	NA	NA	3.75	51.25	Cfb	30
PA1255.P096.BNE	PA1255.P096.BNE	BNE	P0096	PA1255	NA	NA	NA	SOIL		50.93634	3.62578	NA	NA	3.75	50.75	Cfb	90
PA1256.P096.BNE	PA1256.P096.BNE	BNE	P0096	PA1256	NA	NA	NA	SOIL		50.93634	3.62578	NA	NA	3.75	50.75	Cfb	20
PA1259.P188.BNE	PA1259.P188.BNE	BNE	P0188	PA1259	NA	NA	NA	SOIL		50.89959	4.12158	NA	NA	4.25	50.75	Cfb	20
